ID,Name,Price,Rating
NPH-EXP-0032,سماعات SteelSeries Arctis Nova Pro,399,4.7
NPH-EXP-0033,سماعات HyperX Cloud III,99,4.6
NPH-EXP-0034,سماعات Razer BlackShark V2,99,4.5
NPH-EXP-0035,مساعد أمازون إيكو دوت 5,49,4.7
NPH-EXP-0036,مساعد جوجل نست هب 2,99,4.6
NPH-EXP-0037,كاميرا أرلو برو 4K,199,4.5
NPH-EXP-0038,جرس باب رينج فيديو 4,199,4.6
NPH-EXP-0039,مقابس TP-Link كاسا الذكية,29,4.6
NPH-EXP-0040,إضاءة فيليبس هيو,199,4.8
NPH-EXP-0041,مكيف صوتي Ecobee,249,4.7
NPH-EXP-0042,قفل August Smart Lock Pro,229,4.5
NPH-EXP-0043,مقياس حرارة Nest,39,4.4
NPH-EXP-0044,شاشة تلفزيون سامسونج ذكي 55,499,4.6
NPH-EXP-0045,ميزان أومرون الذكي,129,4.7
NPH-EXP-0046,جهاز تتبع الخصوبة ava,279,4.5
NPH-EXP-0047,مقياس سكر فريستايل ليبر,159,4.8
NPH-EXP-0048,جهاز air doctor,399,4.6
NPH-EXP-0049,فرشاة أسنان ألكسا,199,4.7
NPH-EXP-0050,جهاز ماساج Theragun,299,4.8
NPH-EXP-0051,جهاز تدليك الرقبة,59,4.4
NPH-EXP-0052,مرتبة CPAP ResMed,499,4.6
NPH-EXP-0053,ميزان ذكي Withings,99,4.7
NPH-EXP-0054,جهاز قياس الأكسجين,39,4.5
NPH-EXP-0055,لابتوب ماك بوك اير M3,1099,4.9
NPH-EXP-0056,لابتوب Dell XPS 13 بلس,1299,4.7
NPH-EXP-0057,لابتوب HP Spectre x360,1199,4.6
NPH-EXP-0058,لابتوب Lenovo ThinkPad X1,1499,4.8
NPH-EXP-0059,لابتوب ASUS ZenBook 14,899,4.6
NPH-EXP-0060,آيباد أبل برو 11,799,4.8
NPH-EXP-0061,آيباد أبل اير 10.9,599,4.7
NPH-EXP-0062,آيباد سامسونج جالكسي Tab S9,799,4.6
NPH-EXP-0063,قلم أبل بنسل برو,129,4.8
NPH-EXP-0064,كيبورد لوجيتك MX ماستر,99,4.9
NPH-EXP-0065,جهاز بلاي ستيشن 5,499,4.9
NPH-EXP-0066,جهاز Xbox Series X,499,4.8
NPH-EXP-0067,جهاز نينتندو سويتش اولد,349,4.8
NPH-EXP-0068,نظارات Meta Quest 3,499,4.7
NPH-EXP-0069,طاولة لعب Steam Deck,549,4.8
NPH-EXP-0070,كرسي ألعاب ريزر,599,4.6
NPH-EXP-0071,شاشة ألعاب سامسونج 27,699,4.7
NPH-EXP-0072,سماعات جيمينج Astro A50,299,4.7
NPH-EXP-0073,ماوس جيمينج لوجيتك G Pro,199,4.9
NPH-EXP-0074,كيبورد ميكانيكي Corsair,169,4.7
NPH-EXP-0075,كاميرا سوني A7 IV,2499,4.9
NPH-EXP-0076,كاميرا كانون R6 مارك 2,2499,4.8
NPH-EXP-0077,كاميرا فوجي X-T5,1699,4.8
NPH-EXP-0078,كاميرا Nikon Z8,3999,4.9
NPH-EXP-0079,كاميرا GoPro Hero 12,399,4.7
NPH-EXP-0080,كاميرا DJI Osmo Pocket 3,499,4.8
NPH-EXP-0081,كاميرا insta360 X4,499,4.7
NPH-EXP-0082,كاميرا ويب لوجيتك Brio 4K,199,4.7
NPH-EXP-0083,كاميرا_ring_indoor,59,4.5
NPH-EXP-0084,كاميرا ArloEssential,179,4.6
NPH-EXP-0085,نظارات Ray-Ban Meta الذكية,299,4.5
NPH-EXP-0086,حقيبة لابتوب Targus,89,4.6
NPH-EXP-0087,شاحن MagSafe أبل,39,4.7
NPH-EXP-0088,باور بانك أنكر 20000,59,4.8
NPH-EXP-0089,حامل هاتف كويل,29,4.5
NPH-EXP-0090,سماعة جاك Lightning,19,4.4
NPH-EXP-0091,كابل USB-C أنكر,15,4.7
NPH-EXP-0092,حامل ساعة ماك,35,4.6
NPH-EXP-0093,جراب AirPods برو,19,4.5
NPH-EXP-0094,واقي شاشة أيفون,12,4.4
NPH-EXP-0095,خلاط Ninja Foodi,149,4.7
NPH-EXP-0096,قهوة Barista Express,699,4.8
NPH-EXP-0097,شواية George Foreman,99,4.6
NPH-EXP-0098,مقلاة هوائية Cosori,129,4.7
NPH-EXP-0099,محمصة توست البيتزا,49,4.5
NPH-EXP-0100,غلاية كهربائية Hamilton,39,4.6
NPH-EXP-0101,مطحنة قهوة Cuisinart,59,4.5
NPH-EXP-0102,مقياس طعام ذكي,29,4.4
NPH-EXP-0103,حامل آيباد للمطبخ,35,4.5
NPH-EXP-0104,ثلاجة ذكية Samsung,2499,4.6
NPH-EXP-0105,دمبل ذكي Bowflex,329,4.7
NPH-EXP-0106,جهاز HIIT صغير,199,4.8
NPH-EXP-0107,سكوتر Ninebot,699,4.6
NPH-EXP-0108,دراجة Peloton,2495,4.7
NPH-EXP-0109,ساعة garmin forerunner,599,4.8
NPH-EXP-0110,حبل قفز ذكي,39,4.5
NPH-EXP-0111,مرتبة يوغا Gaiam,49,4.7
NPH-EXP-0112,مضرب بيدو,79,4.6
NPH-EXP-0113,شنطة رياضة Under Armour,89,4.6
NPH-EXP-0114,نظارات سباحة Aqualens,35,4.5
NPH-EXP-0115,شاحن سيارة MagSafe,45,4.6
NPH-EXP-0116,GPS Garmin Drive,199,4.5
NPH-EXP-0117,كاميرا سيارة Rexing,149,4.7
NPH-EXP-0118,راديو اندرويد Joying,299,4.4
NPH-EXP-0119,مكبر صوت سيارة JBL,89,4.6
NPH-EXP-0120,منظف هواء سيارة,49,4.4
NPH-EXP-0121,حامل هاتف سيارة,25,4.7
NPH-EXP-0122,مسجل بيانات OBD2,79,4.5
NPH-EXP-0123,إضاءة LED سيارة,29,4.4
NPH-EXP-0124,كاميرا رجوع سيارة,89,4.5
NPH-EXP-0125,ساعة أطفال Garmin,99,4.6
NPH-EXP-0126,جهاز Kindle للأطفال,149,4.5
NPH-EXP-0127,روبوت Cozmo,299,4.7
NPH-EXP-0128,مساعد Echo Dot للأطفال,44,4.6
NPH-EXP-0129,لعبة ليغو Spike,329,4.8
NPH-EXP-0130,دراجة كهربائية للأطفال,149,4.5
NPH-EXP-0131,كاميرا أكشن للأطفال,59,4.4
NPH-EXP-0132,سماعات للأطفال JBL,29,4.5
NPH-EXP-0133,جهاز تعليمي تابلت,79,4.6
NPH-EXP-0134,مراقبة طفل OwlCam,149,4.7
